Date,Transit Agency,Type ,Service Class,Discount,Amount,Balance
4/4/2018 8:43:31 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$20.34 
4/3/2018 5:52:03 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$23.34 
4/3/2018 8:46:15 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$26.34 
4/2/2018 6:00:48 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$29.34 
4/2/2018 8:38:32 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$12.34 
3/29/2018 5:21:14 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$15.34 
3/29/2018 8:43:07 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$18.34 
3/28/2018 5:23:44 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$21.34 
3/28/2018 8:58:46 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$24.34 
3/27/2018 5:57:10 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$27.34 
3/27/2018 8:43:17 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$10.34 
3/26/2018 5:43:26 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$13.34 
3/26/2018 8:36:23 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$16.34 
3/23/2018 6:14:47 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$19.34 
3/23/2018 8:54:09 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$22.34 
3/22/2018 5:08:46 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$25.34 
3/22/2018 8:52:16 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$28.34 
3/21/2018 7:06:27 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$11.34 
3/21/2018 8:54:39 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$14.34 
3/20/2018 5:45:54 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$17.34 
3/20/2018 8:52:41 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$20.34 
3/19/2018 5:43:45 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$23.34 
3/19/2018 8:38:22 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$26.34 
3/9/2018 5:47:44 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$29.34 
3/9/2018 9:00:18 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$12.34 
3/8/2018 5:42:06 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$15.34 
3/8/2018 8:56:15 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$18.34 
3/7/2018 7:04:34 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$21.34 
3/7/2018 8:59:03 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$24.34 
3/6/2018 8:34:58 PM,Toronto Transit Commission,Transfer,Regular,$0.00 ,$0.00 ,$0.00 
3/6/2018 8:25:31 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$27.34 
3/6/2018 8:59:20 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$10.34 
3/5/2018 5:52:56 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$13.34 
3/3/2018 3:26:23 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$16.34 
3/3/2018 12:07:06 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$19.34 
3/2/2018 5:16:47 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$22.34 
3/2/2018 9:04:06 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$25.34 
3/1/2018 5:38:26 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$28.34 
3/1/2018 8:43:15 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$11.34 
2/28/2018 5:42:48 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$14.34 
